type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,userid
1,2598.696363,9.329,3,0.197867828,183,98.68503154,0.038824554,0.648442386,3.141592654,-3.141592654,2.230696695,50.17804769,605.3651442,-124.6645382,216.1266913,514.1984053,29,-71.56382143,653.7334033,3300,-5100,6.662492549,590.6035396,1900,-4900,399.879453,787.2367373,5162.3638,0.148942508,12171.91108,63978.57724,440588.1444,-71485.66394,1300400.111,6979630.782,44241540.42,-10181337.02,0.104,12
4,179.7302809,1.919,2,0.957135102,36,35.96647809,-0.094383321,0.735282465,1.570796327,-3.141592654,-8.098558772,53.04460197,16.89028308,-314.1592654,264.3202626,172.0261608,20,-1.407712658,5.732650616,10.98901099,-20,75.83284936,134.5680595,460,-100,84.13244845,129.3831805,460,0,241.7539445,2559.162353,9315.068493,-8135.59322,18855.17491,169792.1153,930330.8939,-218301.3699,0,12
1,889.7190783,2.137,7,0.977540847,44,-27.05334719,-0.047811151,0.413702922,1.570796327,-1.570796327,-3.634638546,25.05825587,17.72253849,-157.0796327,78.31841145,869.7367418,12,320.3234958,499.6678951,2160,-4.255319149,-301.8292769,479.438193,0,-1840,449.2394497,686.3263363,2837.463656,4.255319149,6935.438549,31681.68743,159612.3189,-23302.84142,661369.9242,3160599.507,16079759.85,-3307702.443,0.06,12
4,75.23606798,1.358,7,0.996950909,27,-0.463647609,-0.004800028,0.081610535,0.154549203,-0.207349514,-0.171721337,2.025404827,4.63647609,-9.27295218,1038.86766,75.00666637,9,44.15557402,103.1866683,380,-12,-0.740740741,3.846259363,0,-20,45.23881613,102.7549924,380,0,21.02573127,2203.912212,7360,-6779.661017,-2202.613893,53774.24323,146960,-136528.8564,0,12
3,1079.425027,3.541,4,0.948929994,66,-31.39692392,0.356682524,1.644037803,5.819537698,-2.602576378,-5.011235222,41.82329194,121.7664277,-196.3495408,1152.059358,1024.298785,13,-273.7876177,485.6699841,140,-2000,-51.40186695,106.8794585,160,-500,296.7137626,486.3539459,2061.552813,0,228.4869252,5069.02726,19641.786,-17459.70225,12973.78947,163391.1611,709000.906,-410355.3769,0.05,12
3,700.1355421,1.498,3,0.053327259,30,-5.451835499,0.030104452,0.210526433,1.047197551,-0.247918222,6.040572707,63.3155505,267.7945045,-125.2863924,617.4954185,37.33630941,13,39.78389739,809.602558,2800,-1260,0.872395065,57.42013021,200,-100,495.198475,631.1202277,2800,0,4460.722642,29391.12492,141669.5769,-52000,452094.8718,2844796.371,14588982.71,-3873391.539,0.05,12
3,2152.853692,6.006,7,0.10048666,123,65.36997011,0.069579147,0.524034212,2.677945045,-1.570796327,6.593723789,58.36388951,618.3516655,-60.83848002,885.7452733,216.3330765,29,80.60203473,1731.617816,7100,-14200,-26.70954627,146.9015167,333.3333333,-1000,606.0384922,1629.142388,14200,0,24096.88406,142620.3508,1239930.569,-211990.0007,2511813.35,14584856.5,124592516.9,-29038411.39,0.01,12
3,1328.444477,14.29,3,0.26320782,285,30.78506619,0.128364894,0.671796103,3.141592654,-1.412141065,0.450258244,13.37608492,157.0796327,-94.80988056,236.225804,349.6569748,24,-11.33689695,418.461534,2500,-2800,16.03314322,131.7205021,1480,-400,102.7106261,426.8780664,2801.785145,0,1458.961611,18346.85291,205040.3936,-50235.9556,143077.1118,1821695.312,20581545.94,-3930301.516,0.05,12
3,240.6493745,2.153,4,0.482458774,45,10.78249631,0.330758218,0.838734177,3.141592654,-1.570796327,-0.407044472,30.82444743,62.83185307,-157.0796327,240.0415133,116.1034022,3,-62.86670406,172.2848618,140,-800,-17.15525492,229.1503919,800,-800,145.9915712,253.6714189,1131.37085,0,3958.274817,17342.73551,76454.23467,-15539.39894,390740.0045,1765043.475,7743351.542,-1839872.672,0.05,12
3,69.32760357,1.31,3,0.709140251,26,8.799995414,-0.092264566,1.908787808,5.497787144,-3.887522571,9.036304184,66.99353684,261.7993878,-109.9557429,56.25165929,49.16299421,5,-17.49022164,145.9150023,500,-400,2.874837027,22.59248331,80,-20,64.806897,132.6837818,500,0,2813.163135,16321.85734,80000,-9600,456947.1198,2712579.516,13366666.67,-1792000,0.05,12
1,580.8213589,2.699,1,0.325542423,51,11.41509212,0.257192519,0.516918947,1.570796327,-0.501186275,0.456139339,17.16829078,70.44198061,-72.97382316,145.3451671,189.0819928,10,22.52028406,194.5676678,760,-420,57.13937319,258.362069,740,-560,201.8404163,257.2184952,849.7058314,0.309693404,104.219693,3883.151993,16994.11663,-8176.588997,1295.998503,103343.1312,339882.3326,-323048.3298,0.05,12
3,3172.942057,15.662,3,0.02865402,302,-57.66215072,0.139366192,1.116198093,5.819537698,-4.71238898,0.842367761,29.06753061,392.6990817,-123.4505617,529.314776,90.91754506,30,-22.64989207,565.8839251,3500,-3300,5.408215716,240.7871413,1666.666667,-900,223.5495147,573.0990249,3546.82957,0,3909.38067,31564.55983,293235.3788,-67844.84008,461103.094,3908526.678,48948580.08,-7018309.754,0.05,12
1,1878.382692,10.374,6,0.208734981,202,-29.84179558,0.004675364,0.504889919,1.570796327,-3.926990817,1.165972775,24.64970301,261.7993878,-78.53981634,353.3271908,392.0841746,33,19.62614324,160.6506812,900,-600,-52.03128985,414.3962512,1100,-2500,224.0510972,387.2437475,2507.987241,0.053050398,5333.92844,29428.74811,231848.9955,-42784.10925,613154.926,3604835.924,36050699.02,-5492662.094,0.05,12
4,80.27766256,1.388,0,0.996541223,26,0.380506377,-0.001086231,0.066331247,0.207349514,-0.231823805,-0.125426737,2.276578403,6.26550823,-9.27295218,391,80,19,51.27800464,61.87453315,240,-19.60784314,-0.249480249,4.820516806,13.51351351,-20,54.10649372,59.41243338,240.8318916,0,-13.22888377,1193.186429,3460.705628,-4006.779661,-1027.207018,28385.21979,66571.19386,-73188.84457,0.159,12
3,939.846337,2.324,2,0.422060919,43,-24.79484577,-0.12059074,0.631561825,1.570796327,-1.666081102,-0.790853235,12.02019276,30.30595643,-52.36883431,321.6029074,396.6724089,12,-61.52560208,221.8864849,161.2903226,-840,337.4123109,1658.241161,10400,-968.0851064,529.1964442,1621.371899,10401.9229,0,16356.74964,135891.1629,859547.1286,-168803.7794,1592685.502,13572043.11,85047035.89,-20567018.16,0.05,12
