elapsedTime, numEvents, actionType, numCriticalPoints,traveledDistance, endToEndLine, largestDeviation, efficiency, a_beg_time, sum_of_angles,avgv,  sdv,  minv, maxv,avgvx, sdvx, minvx, maxvx,avgvy, sdvy, minvy, maxvy,avga,  sda,  mina, maxa,avg_omega, sd_omega, min_omega, max_omega,avg_jerk, sd_jerk, min_jerk, max_jerk,avg_curvature, sd_curvature, min_curvature, max_curvature,direction,userid
4208,114,3,70,  708.37,  553.48,    0.00,    0.78,    0.01,   89.75,    0.60,    1.02,    0.00,    5.98,    0.47,    0.96,    0.00,    5.64,    0.32,    0.39,    0.02,    2.20,   -0.00,    0.06,   -0.27,   -0.27,    0.00,    0.04,   -0.14,    0.16,   -0.07,    0.04,   -0.16,    0.00,    0.00,    0.36,   -1.57,    1.57,    7.00,1
4229,175,3,109, 1291.13,  385.25,    1.90,    0.30,    0.00,  167.27,    0.71,    1.17,    0.00,    7.11,    0.35,    0.68,    0.00,    4.30,    0.58,    0.97,    0.00,    6.30,    0.00,    0.07,   -0.32,   -0.32,    0.00,    0.04,   -0.16,    0.16,   -0.09,    0.06,   -0.16,    0.00,   -0.01,    0.42,   -1.57,    1.57,    7.00,1
1674,115,3,54, 1290.48,  995.82,   15.59,    0.77,    0.02,   59.71,    1.13,    1.50,    0.00,    5.35,    0.61,    0.75,    0.00,    3.00,    0.90,    1.34,    0.05,    4.73,   -0.32,    1.14,   -5.10,   -5.10,   -0.13,    0.38,   -1.57,    0.14,   -0.48,    1.28,   -6.18,    0.01,   -0.00,    0.22,   -1.57,    0.79,    2.00,1
510,20,3,2,   17.21,   14.87,    1.68,    0.86,    0.01,    7.71,    0.08,    0.12,    0.01,    0.35,    0.06,    0.11,    0.10,    0.33,    0.04,    0.06,    0.01,    0.20,   -0.03,    0.10,   -0.35,   -0.35,   -0.19,    0.49,   -1.57,    0.12,   -0.18,    0.36,   -1.57,    0.00,    0.44,    0.68,   -0.79,    1.57,    7.00,1
6061,305,3,83, 1425.76,  915.75,  240.44,    0.64,    0.00,  154.22,    0.46,    0.85,    0.00,    7.64,    0.33,    0.61,    0.00,    4.60,    0.27,    0.63,    0.00,    6.10,   -0.17,    0.66,   -6.96,   -6.96,   -0.21,    0.48,   -1.57,    0.17,   -0.34,    0.79,   -6.96,    0.04,    0.16,    0.50,   -1.57,    1.57,    4.00,1
1263,31,3,12,   73.87,   69.35,    2.93,    0.94,    0.02,   12.52,    0.23,    0.19,    0.00,    0.73,    0.20,    0.18,    0.00,    0.70,    0.10,    0.10,    0.00,    0.36,    0.00,    0.02,   -0.04,   -0.04,    0.01,    0.04,   -0.08,    0.11,   -0.03,    0.03,   -0.11,    0.00,    0.02,    0.54,   -1.57,    1.57,    4.00,1
1365,90,3,53,  120.40,  107.42,    9.74,    0.89,    0.02,   89.72,    0.12,    0.11,    0.01,    0.42,    0.05,    0.08,    0.09,    0.30,    0.10,    0.08,    0.01,    0.33,   -0.00,    0.02,   -0.17,   -0.17,   -0.02,    0.20,   -1.57,    0.52,   -0.09,    0.11,   -0.79,    0.04,    0.11,    0.52,   -1.57,    1.57,    1.00,1
1489,94,1,22,  637.61,  257.09,    0.00,    0.40,    0.08,   55.95,    0.70,    0.95,    0.00,    4.97,    0.44,    0.71,    0.00,    3.80,    0.50,    0.66,    0.00,    3.20,   -0.32,    0.86,   -4.97,   -4.97,   -0.24,    0.49,   -1.57,    0.17,   -0.58,    1.02,   -5.56,    0.01,    0.09,    0.34,   -1.57,    1.57,    0.00,1
832,84,3,21,  331.80,  283.34,    0.00,    0.85,    0.01,   42.40,    0.40,    0.50,    0.05,    2.00,    0.29,    0.42,    0.10,    1.40,    0.21,    0.32,    0.05,    1.60,   -0.17,    0.38,   -1.41,   -1.41,   -0.22,    0.49,   -1.57,    0.17,   -0.38,    0.60,   -2.40,    0.01,    0.15,    0.42,   -1.57,    1.57,    0.00,1
11031,324,3,124, 6757.81,  402.57,  773.67,    0.06,    0.00,  229.79,    2.62,    6.17,    0.00,   68.25,    1.78,    5.94,    0.00,   67.00,    1.35,    2.16,    0.00,   13.00,   -0.19,    4.99,  -15.95,  -15.95,   -0.10,    0.35,   -1.57,    0.39,   -0.38,    4.76,  -15.95,   68.25,    0.01,    0.19,   -1.57,    1.11,    0.00,1
