elapsedTime, numEvents, actionType, numCriticalPoints,traveledDistance, endToEndLine, largestDeviation, efficiency, a_beg_time, sum_of_angles,avgv,  sdv,  minv, maxv,avgvx, sdvx, minvx, maxvx,avgvy, sdvy, minvy, maxvy,avga,  sda,  mina, maxa,avg_omega, sd_omega, min_omega, max_omega,avg_jerk, sd_jerk, min_jerk, max_jerk,avg_curvature, sd_curvature, min_curvature, max_curvature,direction,userid
7242,197,3,114, 2311.23,  535.54,  117.26,    0.23,    0.00,  193.90,    1.05,    1.30,    0.00,   10.07,    0.50,    1.12,    0.01,    9.40,    0.75,    0.85,    0.00,    4.13,    0.02,    0.17,   -0.62,   -0.62,    0.00,    0.09,   -0.52,    0.79,   -0.11,    0.11,   -0.41,    0.96,    0.07,    0.40,   -1.57,    1.57,    2.00,1
2968,203,3,102, 1445.11,  823.78,   83.49,    0.57,    0.03,  113.00,    0.98,    1.32,    0.00,    9.75,    0.78,    1.12,    0.00,    8.60,    0.51,    0.76,    0.00,    4.60,    0.03,    0.19,   -0.52,   -0.52,   -0.00,    0.06,   -0.31,    0.22,   -0.06,    0.08,   -0.51,    0.14,    0.03,    0.35,   -1.57,    1.57,    7.00,1
1696,98,3,45,  423.63,  326.12,    8.09,    0.77,    0.01,   99.55,    0.59,    0.86,    0.00,    5.31,    0.25,    0.39,    0.00,    1.80,    0.52,    0.78,    0.02,    5.00,    0.01,    0.10,   -0.35,   -0.35,    0.00,    0.10,   -0.31,    0.31,   -0.13,    0.09,   -0.32,    0.00,    0.17,    0.65,   -1.57,    1.57,    6.00,1
1417,69,3,46,  439.48,  277.84,    0.00,    0.63,    0.01,   57.62,    0.92,    0.98,    0.00,    5.40,    0.52,    0.64,    0.10,    3.40,    0.64,    0.85,    0.00,    4.20,    0.03,    0.15,   -0.34,   -0.34,    0.00,    0.06,   -0.26,    0.17,   -0.10,    0.09,   -0.31,    0.07,    0.03,    0.36,   -1.57,    1.57,    0.00,1
1065,91,3,50,  187.46,   95.34,   22.25,    0.51,    0.04,   46.86,    0.29,    0.32,    0.04,    1.70,    0.21,    0.25,    0.04,    1.20,    0.18,    0.22,    0.06,    1.20,    0.01,    0.05,   -0.10,   -0.10,    0.00,    0.07,   -0.16,    0.31,   -0.07,    0.08,   -0.32,    0.01,    0.05,    0.46,   -1.57,    1.57,    2.00,1
3576,316,3,185, 3622.68,  659.90,  996.31,    0.18,    0.01,  264.80,    1.60,    1.99,    0.01,   12.97,    0.83,    1.09,    0.03,    6.60,    1.19,    1.80,    0.01,   12.40,    0.04,    0.25,   -0.69,   -0.69,   -0.00,    0.07,   -0.39,    0.31,   -0.10,    0.08,   -0.31,    0.09,    0.04,    0.36,   -1.57,    1.57,    3.00,1
2132,78,3,44,  207.65,  137.09,   27.54,    0.66,    0.01,   59.96,    0.33,    0.45,    0.00,    2.75,    0.24,    0.47,    0.13,    2.75,    0.13,    0.14,    0.00,    0.63,    0.00,    0.05,   -0.17,   -0.17,   -0.00,    0.08,   -0.22,    0.22,   -0.09,    0.09,   -0.23,    0.04,    0.18,    0.54,   -1.57,    1.57,    3.00,1
6057,232,3,142, 3537.29,  911.25,   92.26,    0.26,    0.00,  193.88,    1.95,    2.52,    0.00,   18.49,    1.30,    2.30,    0.00,   18.00,    1.18,    1.33,    0.00,    6.38,    0.01,    0.20,   -1.05,   -1.05,   -0.00,    0.05,   -0.20,    0.26,   -0.10,    0.08,   -0.25,    0.53,    0.02,    0.29,   -1.57,    1.57,    0.00,1
1336,114,3,66,  988.18,  792.11,   28.04,    0.80,    0.02,   85.99,    1.10,    1.70,    0.02,    7.69,    0.90,    1.56,    0.03,    6.63,    0.49,    0.77,    0.02,    4.00,    0.00,    0.06,   -0.27,   -0.27,    0.00,    0.07,   -0.22,    0.22,   -0.09,    0.08,   -0.27,    0.03,    0.04,    0.49,   -1.57,    1.57,    3.00,1
3125,284,3,160, 3778.14,  763.41,   76.50,    0.20,    0.01,  183.26,    1.73,    2.76,    0.02,   21.00,    1.54,    2.67,    0.02,   20.00,    0.62,    0.84,    0.00,    6.40,    0.01,    0.20,   -1.44,   -1.44,   -0.00,    0.06,   -0.31,    0.22,   -0.07,    0.08,   -0.31,    0.34,    0.08,    0.44,   -1.57,    1.57,    4.00,1
1956,116,3,61,  226.65,   17.89,   21.47,    0.08,    0.02,  109.60,    0.24,    0.29,    0.01,    1.29,    0.05,    0.09,    0.00,    0.38,    0.22,    0.29,    0.00,    1.29,    0.00,    0.04,   -0.09,   -0.09,   -0.00,    0.08,   -0.26,    0.20,   -0.11,    0.10,   -0.38,    0.01,    0.22,    0.56,   -0.79,    1.57,    5.00,1
841,44,3,20,   38.30,   27.66,    8.03,    0.72,    0.01,   35.20,    0.09,    0.08,    0.01,    0.28,    0.03,    0.05,    0.02,    0.17,    0.07,    0.08,    0.01,    0.25,    0.00,    0.01,   -0.03,   -0.03,   -0.00,    0.11,   -0.31,    0.26,   -0.08,    0.10,   -0.32,    0.01,    0.35,    0.75,   -1.57,    1.57,    1.00,1
1550,71,3,41,  158.69,   23.35,    9.64,    0.15,    0.22,   35.32,    0.26,    0.34,    0.02,    1.86,    0.18,    0.30,    0.02,    1.75,    0.14,    0.21,    0.02,    0.83,    0.00,    0.03,   -0.12,   -0.12,   -0.00,    0.07,   -0.20,    0.20,   -0.06,    0.07,   -0.26,    0.01,    0.08,    0.53,   -1.57,    1.57,    0.00,1
